AÑO,MES,DEPARTAMENTO,PROVINCIA,DISTRITO,PRODUCTO,SIEMBRA,COSECHA,PRODUCCION,PRECIO_CHACRA
2016,1,HUANCAVELICA,TAYACAJA,ACOSTAMBO,PAPA PERRICHOLI (mejoradas),0.0,0.0,0.0,0.0
2016,3,HUANCAVELICA,TAYACAJA,DANIEL HERNANDEZ,PAPA PERRICHOLI (mejoradas),0.0,20.0,236.0,0.45
2017,9,HUANCAVELICA,TAYACAJA,ACOSTAMBO,PAPA PERRICHOLI (mejoradas),11.0,0.0,0.0,0.0
2017,12,HUANCAVELICA,TAYACAJA,AHUAYCHA,PAPA PERRICHOLI (mejoradas),0.0,0.0,0.0,0.0
2017,6,HUANCAVELICA,TAYACAJA,PAMPAS,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2018,7,HUANCAVELICA,TAYACAJA,ACOSTAMBO,PAPA PERRICHOLI (mejoradas),0.0,10.0,180.0,0.5
2018,11,HUANCAVELICA,HUAYTARA,AYAVI,PAPA CANCHAN (mejoradas)- color,12.0,0.0,0.0,0.0
2019,5,APURIMAC,GRAU,MICAELA BASTIDAS,PAPA CANCHAN (mejoradas)- color,0.0,10.0,120.0,1.5
2019,4,APURIMAC,GRAU,CURASCO,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2020,1,AMAZONAS,LUYA,TINGO,PAPA CANCHAN (mejoradas)- color,2.0,0.0,0.0,0.0
2020,1,APURIMAC,GRAU,CHUQUIBAMBILLA,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2022,4,LIMA,CAÑETE,SAN LUIS,PAPA UNICA (mejoradas)-color,4.0,0.0,0.0,0.0
2022,8,AMAZONAS,LUYA,CONILA,PAPA CANCHAN (mejoradas)- color,2.0,2.0,39.0,1.95
2022,12,APURIMAC,GRAU,MAMARA,PAPA CANCHAN (mejoradas)- color,2.0,0.0,0.0,0.0
