ID,CULTVRNAME,LAT,LONG,SPP2
6693,Yurac Papa,-13.49,-74.24,Papa
6694,Yurac Suito,-13.49,-74.24,Papa
6695,Cuchipa Acan,-15.13,-73.2,Papa
6696,Loon Maqui,-15.13,-73.2,Papa
6697,Yurac Sisa,-13.73,-74.04,Papa
6698,Inti Pita Colorada,-13.73,-74.04,Papa
6699,Arac Papa,-13.73,-74.04,Papa
6700,Leccocha,-13.73,-74.04,Papa
6701,Tambe±a,-13.58,-74.0,Papa
6702,Calhuayso,-13.58,-74.0,Papa
6703,Puca Papa,-13.58,-74.0,Papa
6704,Yurac Suito,-13.65,-73.95,Papa
6705,Wuamanpa Uman,-13.55,-74.22,Papa
6706,Yana Cala,-12.95,-74.02,Papa
6707,Abela Chipoteachej,-12.95,-74.02,Papa
6708,Riquema,-12.95,-74.02,Papa
6709,Riquema,-12.95,-74.02,Papa
6710,Ccoto,-15.17,-73.3,Papa
6711,Ocke Chojllu,-15.17,-73.3,Papa
6712,Alccopa,-15.17,-73.3,Papa
6713,Yurac Macta,-15.17,-73.3,Papa
6714,Ocke Pepino,-15.17,-73.3,Papa
6716,Aracca Roja,-14.3,-73.25,Papa
6717,Misi Qawina,-13.05,-72.97,Papa
6718,Kello Palta,-13.05,-72.97,Papa
6719,Sogo Putis,-13.05,-72.97,Papa
6720,Yana Lumpo,-13.05,-72.97,Papa
6721,Enisa,-13.05,-72.97,Papa
6722,Enuru Suytu,-13.05,-72.97,Papa
6723,Yurac Lenguas,-13.05,-72.97,Papa
6724,Cara,-13.75,-71.87,Papa
6725,Blanca,-13.27,-74.2,Papa
6726,Puca Suitu,-13.55,-74.2,Papa
6727,Wuamanpa Uman,-13.55,-74.2,Papa
6730,Puca Suito,-13.58,-74.35,Papa
6731,Tumbos,-15.1,-73.77,Papa
6732,Puca Sole,-15.1,-73.77,Papa
6733,Muco,-15.1,-73.77,Papa
6734,Cornelio,-15.1,-73.77,Papa
6735,Yana Huajra,-13.23,-74.35,Papa
6736,Huallata,-13.87,-70.6,Papa
6737,Tarma,-13.87,-70.6,Papa
